Seed,#,Instanz,Preset,Test,Start,Final,Imp %,Gen,Gen %
291334404,0,A-n32-k5,small1,0,917,796,13.2,860000,43.0
291334404,1,A-n48-k7,small1,0,1359,1151,15.31,640000,32.0
291334404,2,A-n61-k9,small1,0,1540,1281,16.82,520000,26.0
291334404,3,A-n69-k9,small1,0,1573,1277,18.82,500000,25.0
291334404,4,A-n80-k10,small1,0,2385,1948,18.32,500000,25.0
291334404,5,M-n121-k7,small1,0,1750,1400,20.0,340000,17.0
291334404,6,M-n200-k17,small1,0,2798,2377,15.05,220000,11.0
291334404,7,P-n101-k4,small1,0,804,706,12.19,600000,30.0
291334404,8,P-n16-k8,small1,0,450,450,0.0,1560000,78.0
291334404,9,P-n76-k5,small1,0,789,660,16.35,820000,41.0
