Seed,#,Instanz,Preset,Test,Start,Final,Imp %,Gen,Gen %
3346188095,0,A-n32-k5,small1,0,985,829,15.84,960000,48.0
3346188095,1,A-n48-k7,small1,0,1493,1223,18.08,700000,35.0
3346188095,2,A-n61-k9,small1,0,1770,1382,21.92,620000,31.0
3346188095,3,A-n69-k9,small1,0,1946,1360,30.11,540000,27.0
3346188095,4,A-n80-k10,small1,0,2867,2315,19.25,480000,24.0
3346188095,5,M-n121-k7,small1,0,2733,1704,37.65,420000,21.0
3346188095,6,M-n200-k17,small1,0,4156,2666,35.85,260000,13.0
3346188095,7,P-n101-k4,small1,0,1558,1040,33.25,860000,43.0
3346188095,8,P-n16-k8,small1,0,450,450,0.0,1600000,80.0
3346188095,9,P-n76-k5,small1,0,1097,832,24.16,980000,49.0
